EventId,EventTemplate
e0686fb4b3ae410473860cd5c496ea32,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: Major network physical port status change, port <*> Link up"",""repNb"":<*>:""(null)""}"
a587c385e313db770d0c548f6923e2a1,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: PLC state update: RUN"",""repNb"":<*>:""(null)""}"
e0686fb4b3ae410473860cd5c496ea32,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: Major network physical port status change, port <*> Link up"",""repNb"":<*>:""(null)""}"
a587c385e313db770d0c548f6923e2a1,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: PLC state update: RUN"",""repNb"":<*>:""(null)""}"
a587c385e313db770d0c548f6923e2a1,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: PLC state update: RUN"",""repNb"":<*>:""(null)""}"
08974d8083a3edac6a65854a8fa2b788,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: Major network physical port status change, port <*> Port Learning"",""repNb"":<*>:""(null)""}"
634a49cc98edca1bc2f6902f91286376,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: Major network physical port status change, port <*> Port Forward"",""repNb"":<*>:""(null)""}"
27706a6db016f071bc15842f99eb5a90,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":<*>:<*>:""B: FTP user <*> login FAILED"",""repNb"":<*>:""(null)""}"
e0686fb4b3ae410473860cd5c496ea32,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: Major network physical port status change, port <*> Link up"",""repNb"":<*>:""(null)""}"
a587c385e313db770d0c548f6923e2a1,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: PLC state update: RUN"",""repNb"":<*>:""(null)""}"
e0686fb4b3ae410473860cd5c496ea32,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: Major network physical port status change, port <*> Link up"",""repNb"":<*>:""(null)""}"
a587c385e313db770d0c548f6923e2a1,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: PLC state update: RUN"",""repNb"":<*>:""(null)""}"
a587c385e313db770d0c548f6923e2a1,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: PLC state update: RUN"",""repNb"":<*>:""(null)""}"
08974d8083a3edac6a65854a8fa2b788,"{ ""issuerAddr"":<*>:""(null)"",""peerAddr"":""(null)"",""type"":<*>:""B: Major network physical port status change, port <*> Port Learning"",""repNb"":<*>:""(null)""}"
